Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",8668580,73330,50850,33220,93390
1,36,New York State,11-0000,Management Occupations,515320,162180,140030,77280,204630
1,36,New York State,11-1011,Chief Executives,4100,269140,,128150,
1,36,New York State,11-2033,Fundraising Managers,2030,179710,167620,111650,213740
1,36,New York State,11-1021,General and Operations Managers,194910,150720,129810,64700,193730
1,36,New York State,11-1031,Legislators,4350,92100,95720,59370,108460
1,36,New York State,17-2071,Electrical Engineers,8940,110510,103560,71410,130070
1,36,New York State,19-3041,Sociologists,,101820,101080,71860,116810
1,36,New York State,51-6051,"Sewers, Hand",,36270,35860,30310,39250
10,1,Capital Region,15-2041,Statisticians,120,103020,82520,60490,124280
10,1,Capital Region,29-1051,Pharmacists,1060,127480,132290,93200,144620
1,36,New York State,11-2011,Advertising and Promotions Managers,7380,185310,168230,103220,226360
1,36,New York State,11-2021,Marketing Managers,24480,198280,174120,126820,234010
1,36,New York State,11-2022,Sales Managers,26630,205440,196660,110770,252780
1,36,New York State,11-2032,Public Relations Managers,5240,169100,155850,95460,205910
1,36,New York State,11-3012,Administrative Services Managers,11200,148930,131260,94090,176350
1,36,New York State,11-3013,Facilities Managers,6060,131710,127610,82440,156340
1,36,New York State,11-3021,Computer and Information Systems Managers,29800,200310,184400,130210,235360
1,36,New York State,11-3031,Financial Managers,49570,214780,212780,124910,259720
1,36,New York State,11-3051,Industrial Production Managers,4820,134800,127840,85780,159300
1,36,New York State,11-3061,Purchasing Managers,3860,161400,155460,100010,192090
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",4900,124730,118140,78130,148030
1,36,New York State,11-3111,Compensation and Benefits Managers,1520,192820,172600,120820,228820
1,36,New York State,11-3121,Human Resources Managers,10310,187820,168440,107870,227790
1,36,New York State,11-3131,Training and Development Managers,2730,182790,168240,113450,217460
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,80880,64200,43600,99530
1,36,New York State,11-9021,Construction Managers,7670,142510,126300,80320,173600
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3570,69760,61570,41890,83700
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",18780,143450,132030,94310,168030
1,36,New York State,11-9033,"Education Administrators, Postsecondary",5950,165620,155600,103790,196530
1,36,New York State,11-9039,"Education Administrators, All Other",2390,115510,97660,61990,142270
1,36,New York State,11-9041,Architectural and Engineering Managers,5670,173850,167390,119400,201080
1,36,New York State,11-9051,Food Service Managers,11990,74990,67600,48980,88000
1,36,New York State,11-9071,Gaming Managers,,104300,98040,67140,122880
1,36,New York State,11-9072,"Entertainment and Recreation Managers, Except Gambling",380,90280,79810,50060,110380
1,36,New York State,11-9081,Lodging Managers,2160,87900,76050,49900,106900
1,36,New York State,11-9111,Medical and Health Services Managers,24060,159710,135220,95680,191720
1,36,New York State,11-9121,Natural Sciences Managers,2690,184450,168940,115850,218760
1,36,New York State,11-9131,Postmasters and Mail Superintendents,770,86170,83840,74240,92140
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",8420,111010,100020,59160,136930
